Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,v2g_time_percentage_mean,v2g_time_percentage_std,average_v2g_power_mean,average_v2g_power_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
ALAP,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,-55.74511486058628,0.0,249.53542286274168,2.842170943040401e-14,0.0,0.0,0.7754081549970567,0.0,311.2271314305753,0.0,85570.29307100765,0.0,417.2632873645714,0.0,77.54081549970567,0.0,14.493132759047201,0.0,61.419753086419746,0.0,0.0,0.0,31.205284747677734,3.552713678800501e-15,185.69999999999993,0.0,17.823958775910118,0.0,0.0021974015555746205,0.0,0.00046551839222826316,0.0,0.0017318831633463573,0.0,-705.4134986345601,0.0,0.0,0.0,0.10096581776936848,0.02995307811437317,0.0,0.0,0.0,0.0,2.9681433026585264e-05,3.3881317890172014e-21,0.00010659499673146276,0.0,-3.4840696787866423,0.0
RR,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,-44.3509403901808,7.105427357601002e-15,212.90012308846192,0.0,0.0,0.0,0.7416935519184733,0.0,0.0,0.0,42032.09612467276,0.0,298.28502142356353,0.0,74.16935519184733,0.0,22.133326031290853,0.0,44.078125,0.0,0.0,0.0,0.0,0.0,72.72000000000001,0.0,15.20715164917585,0.0,0.0020839653006791536,0.0,0.000590803707270342,0.0,0.0014931615934088121,2.168404344971009e-19,-42.68006310369203,0.0,0.0,0.0,0.10342152913411458,0.04350160667396153,0.0,0.0,0.0,0.0,3.720590172674897e-05,0.0,9.308208508273278e-05,1.3552527156068805e-20,-2.7719337743863,4.440892098500626e-16
SAC,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,-9.056580438147417,0.0,224.72845440520646,2.842170943040401e-14,191.0717503151479,0.0,0.5454449128671155,0.0,32.361012637285064,0.0,126912.59888139386,0.0,493.7089467406095,0.0,54.544491286711555,0.0,34.353911544293,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,50.51637910639166,7.105427357601002e-15,2.40405029214704,0.0,0.0034054517841059675,0.0,0.00037312774988615963,0.0,0.0030323240342198074,0.0,-7.344536734153884,0.0,0.0,0.0,0.1528345743815104,0.03292665701465589,60.038240917782026,0.0,2.434035035861757,0.0,2.3454000050816305e-05,3.3881317890172014e-21,0.00019121521421064445,0.0,-0.5660362773842136,0.0
DDPG,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,-7.790778922749376,0.0,193.0373532080447,0.0,153.3025,0.0,0.5371524127707464,0.0,0.0,0.0,99245.64913521492,0.0,471.4502913039808,0.0,53.71524127707465,0.0,40.85339427561788,0.0,15.432098765432102,0.0,4.0,0.0,0.0,0.0,44.759999999999955,7.105427357601002e-15,2.838203800574616,4.440892098500626e-16,0.0034469145952191276,4.336808689942018e-19,0.000461539351162816,0.0,0.0029853752440563114,0.0,-10.453003265620488,0.0,0.0,0.0,0.1826794147491455,0.06868610759975212,53.72848948374761,0.0,2.1822419928825623,0.0,2.8869995491329114e-05,0.0,0.00018844021404186757,0.0,-0.486923682671836,0.0
DDPG+PER,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,6.354255055452843,0.0,157.83012856409016,0.0,179.395,0.0,0.4831935342817502,5.551115123125783e-17,0.0,0.0,116524.80545837987,0.0,532.7500159479353,0.0,48.31935342817502,0.0,40.072516834805256,0.0,15.432098765432102,0.0,5.0,0.0,0.0,0.0,71.52891878770126,0.0,-1.5403479597078487,2.220446049250313e-16,0.0032063239487036214,0.0,0.0003660206350548873,0.0,0.002840303313648733,4.336808689942018e-19,0.5709154201122972,0.0,0.0,0.0,0.10919944445292155,0.019002788978490663,63.8623326959847,7.105427357601002e-15,2.1484431137724553,0.0,2.2865601092092057e-05,3.3881317890172014e-21,0.0001775358593265338,0.0,0.3971409409658027,0.0
TQC,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,13.52477110586499,1.7763568394002505e-15,333.7934454162327,0.0,403.54633190026374,0.0,0.44353375434675374,0.0,96.85958710055532,1.4210854715202004e-14,267649.9217659764,0.0,629.3678245463343,0.0,44.35337543467537,0.0,28.38093956783113,0.0,15.625,0.0,8.0,0.0,17.582447015933113,0.0,136.215597231516,0.0,-4.982349034573639,0.0,0.006493936730123874,0.0,0.00044662135702297777,0.0,0.0060473153731008976,8.673617379884035e-19,-20034.39932077649,0.0,0.0,0.0,0.1277156670888265,0.014724071173095944,60.42065009560229,0.0,5.1081814164590345,0.0,2.769872926358755e-05,0.0,0.0003760377930460441,5.421010862427522e-20,0.8452981941165619,1.1102230246251565e-16
Online_MPC_NonAdaptive,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,18.566568015715742,0.0,138.09523641845496,0.0,224.4,2.842170943040401e-14,0.4186760025140018,0.0,3.228830918562775,0.0,159435.30579693106,0.0,599.1043235528518,0.0,41.86760025140018,0.0,4.381331482370459,0.0,37.43827160493828,0.0,36.0,0.0,0.0,0.0,27.664534983968363,0.0,-6.164625970110358,0.0,0.002155738102517348,0.0,0.0002966107073566557,0.0,0.001859127395160692,2.168404344971009e-19,6.370586222603927,0.0,0.0,0.0,9.895216147104898,0.8661680629256593,17.208413001912046,0.0,9.973333333333334,0.0,1.85148876892051e-05,0.0,0.00011532482862088707,0.0,1.1604105009822339,0.0
Online_MPC_Adaptive,Transformer Max Power (kW),50,16.0,0.0,16.0,0.0,18.566568015715742,0.0,138.09523641845496,0.0,224.4,2.842170943040401e-14,0.4186760025140018,0.0,3.228830918562775,0.0,159435.30579693106,0.0,599.1043235528518,0.0,41.86760025140018,0.0,4.381331482370459,0.0,37.43827160493828,0.0,36.0,0.0,0.0,0.0,27.664534983968363,0.0,-6.164625970110358,0.0,0.002155738102517348,0.0,0.0002966107073566557,0.0,0.001859127395160692,2.168404344971009e-19,6.370586222603927,0.0,0.0,0.0,9.89892872174581,1.2288782241768774,17.208413001912046,0.0,9.973333333333334,0.0,1.85148876892051e-05,0.0,0.00011532482862088707,0.0,1.1604105009822339,0.0
AFAP,Transformer Max Power (kW),100,16.0,0.0,16.0,0.0,-98.6953790347602,0.0,464.67299778112334,0.0,0.0,0.0,1.0,0.0,643.1303946214376,0.0,61677.66935543795,7.275957614183426e-12,368.077344041621,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.2028706277353756,0.0,103.17647115693744,0.0,16.595464206468687,0.0,0.005380781954359333,8.673617379884035e-19,0.0009551547777394807,1.0842021724855044e-19,0.004425627176619852,0.0,-91.49388124564435,1.4210854715202004e-14,0.0,0.0,0.10508966445922852,0.014597457443928992,0.0,0.0,0.0,0.0,6.0016677824146525e-05,0.0,0.00027940089732436104,0.0,-6.168461189672512,0.0
ALAP,Transformer Max Power (kW),100,16.0,0.0,16.0,0.0,-55.74511486058628,0.0,249.53542286274168,2.842170943040401e-14,0.0,0.0,0.7754081549970567,0.0,311.2271314305753,0.0,85570.29307100765,0.0,417.2632873645714,0.0,77.54081549970567,0.0,14.493132759047201,0.0,61.419753086419746,0.0,0.0,0.0,0.0,0.0,92.84999999999997,0.0,8.911979387955059,0.0,0.0021974015555746205,0.0,0.00046551839222826316,0.0,0.0017318831633463573,0.0,-47.843711772022914,0.0,0.0,0.0,0.08895206451416016,0.015855195066490874,0.0,0.0,0.0,0.0,2.9681433026585264e-05,3.3881317890172014e-21,0.00010659499673146276,0.0,-3.4840696787866423,0.0
