Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_evs_spawned_mean,total_evs_spawned_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
SAC,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,59.17914942925574,0.0,162.71273395273272,0.0,454.32986774335103,0.0,0.38431722281401687,0.0,24.039421220359927,0.0,430178.59184976737,0.0,1022.8105343534501,0.0,37.83128068924809,0.0,32.14234639989425,0.0,12.987012987012985,0.0,13.0,0.0,0.0,0.0,35.66113394510859,0.0,-10.509652754913198,0.0,0.005462875659106162,0.0,0.00043510670101911574,0.0,0.0050277689580870465,0.0,39.46055598075215,0.0,0.0,0.0,0.12328505516052246,0.0,1.7310052107844832e-05,0.0,0.0002019726245548184,0.0,2.3671659771702296,0.0
DDPG,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,42.97607148292377,0.0,219.85638920086413,0.0,416.745,0.0,0.4247537513775814,0.0,0.0,0.0,326063.0046571854,0.0,916.0623007517879,0.0,43.49734480867821,0.0,38.78258159887077,0.0,12.987012987012985,0.0,14.0,0.0,0.0,0.0,19.871241360055926,0.0,-7.095711092140022,0.0,0.005807958911589343,0.0,0.0004630128094420349,0.0,0.0053449461021473086,0.0,22.31544958999043,0.0,0.0,0.0,0.0731804370880127,0.0,1.849222743258868e-05,0.0,0.0002158956253935837,0.0,1.7190428593169509,0.0
DDPG+PER,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,-6.36171459398912,0.0,318.65976393395005,0.0,304.64750000000004,0.0,0.561431934913991,0.0,0.23940061792391942,0.0,208938.82487906874,0.0,705.2811263276637,0.0,56.90286160535443,0.0,41.41152632077,0.0,15.432098765432102,0.0,9.0,0.0,0.0,0.0,20.09541271273143,0.0,0.504991000843401,0.0,0.006161781182495139,0.0,0.0007239274858433917,0.0,0.005437853696651746,0.0,-3.4729106274499078,0.0,0.0,0.0,0.09570932388305664,0.0,2.8999599327751213e-05,0.0,0.0002198468287909816,0.0,-0.2544685837595648,0.0
TQC,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,65.69695484483094,0.0,224.75996091994105,0.0,566.7008510360769,0.0,0.36727503892128616,0.0,30.693140683775944,0.0,549982.9507001279,0.0,1076.4611504106763,0.0,33.99963362466067,0.0,26.867068442223875,0.0,15.432098765432102,0.0,18.0,0.0,0.0,0.0,42.53905920790563,0.0,-12.323281458512616,0.0,0.006078844346114333,0.0,0.00033128753188772005,0.0,0.005747556814226614,0.0,-4693.008963703286,0.0,0.0,0.0,0.09470057487487793,0.0,1.3177487896306727e-05,0.0,0.0002309256596828027,0.0,2.627878193793238,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,25.290811409044267,0.0,18.752308845714037,0.0,131.05,0.0,0.547323387292193,0.0,0.0,0.0,250198.11400119055,0.0,831.4713811069378,0.0,48.805124671638424,0.0,20.911366502628407,0.0,18.796992481203006,0.0,4.0,0.0,0.0,0.0,11.471966613657218,0.0,-4.047120701959255,0.0,0.0016380379541154344,0.0,0.0006864537105912219,0.0,0.0009515842435242127,0.0,9.365370685141333,0.0,0.0,0.0,7.999718904495239,0.0,2.7381699054018537e-05,0.0,3.812178794263077e-05,0.0,1.0116324563617707,0.0
Online_MPC_Adaptive,Discharge Price Factor,1.0,25.0,0.0,25.0,0.0,23.41956593952955,0.0,28.969816786396258,0.0,131.04,0.0,0.5562297413461218,0.0,0.0,0.0,241459.2711996186,0.0,821.2438731662555,0.0,49.54150866189788,0.0,22.31275878097595,0.0,17.24137931034483,0.0,3.0,0.0,0.0,0.0,13.075779809200231,0.0,-3.678529338319202,0.0,0.001883829905193869,0.0,0.0006945775877370804,0.0,0.0011892523174567885,0.0,7.498107226724854,0.0,0.0,0.0,9.69682240486145,0.0,2.7722061598069114e-05,0.0,4.7519961913666236e-05,0.0,0.9367826375811821,0.0
AFAP,Discharge Price Factor,1.5,25.0,0.0,25.0,0.0,-139.96573697754482,0.0,648.0850944056498,0.0,0.0,0.0,1.0,0.0,947.82327184793,0.0,120547.70110728794,0.0,545.000231470967,0.0,99.99514242878563,0.0,0.018067204944304832,0.0,99.91304347826087,0.0,0.0,0.0,79.01382221754525,0.0,130.03521085531372,0.0,23.35647843905131,0.0,0.008100693574451015,0.0,0.0015292573787491998,0.0,0.006571436195701816,0.0,-3399.0496355439386,0.0,0.0,0.0,0.06304311752319336,0.0,6.144605535039924e-05,0.0,0.00026535007515575166,0.0,-5.598629479101793,0.0
ALAP,Discharge Price Factor,1.5,25.0,0.0,25.0,0.0,-89.28734466384567,0.0,372.0707719126967,0.0,0.0,0.0,0.883585271392084,0.0,364.43628276386795,0.0,125199.72620173584,0.0,529.321059421889,0.0,81.3329498411022,0.0,11.792254668762252,0.0,57.64578833693306,0.0,0.0,0.0,3.974852307433057,0.0,100.23370797225472,0.0,13.409138764331253,0.0,0.0030556746887867156,0.0,0.0008618480194145362,0.0,0.0021938266693721795,0.0,-100.5564781288429,0.0,0.0,0.0,0.031826019287109375,0.0,3.502764226637076e-05,0.0,8.720503123801221e-05,0.0,-3.5714937865538268,0.0
RR,Discharge Price Factor,1.5,25.0,0.0,25.0,0.0,-68.61404575010964,0.0,317.0792037164814,0.0,0.0,0.0,0.8338885589147838,0.0,0.0,0.0,68040.35782265641,0.0,402.0944862361704,0.0,77.69678912700165,0.0,18.310367483491405,0.0,43.14782608695652,0.0,0.0,0.0,0.0,0.0,43.67121256613575,0.0,11.427285782382274,0.0,0.0032913960590427198,0.0,0.0010485677104804375,0.0,0.0022428283485622824,0.0,-63.032557597091355,0.0,0.0,0.0,0.03005385398864746,0.0,4.2206793880502964e-05,0.0,9.006972479666872e-05,0.0,-2.7445618300043857,0.0
SAC,Discharge Price Factor,1.5,25.0,0.0,25.0,0.0,107.24329587543154,0.0,162.71273395273272,0.0,454.32986774335103,0.0,0.38431722281401687,0.0,24.039421220359927,0.0,430178.59184976737,0.0,1022.8105343534501,0.0,37.83128068924809,0.0,32.14234639989425,0.0,12.987012987012985,0.0,13.0,0.0,0.0,0.0,35.66113394510859,0.0,-10.509652754913198,0.0,0.005462875659106162,0.0,0.00043510670101911574,0.0,0.0050277689580870465,0.0,85.35914894623647,0.0,0.0,0.0,0.10219120979309082,0.0,1.7310052107844832e-05,0.0,0.0002019726245548184,0.0,4.289731835017261,0.0
DDPG,Discharge Price Factor,1.5,25.0,0.0,25.0,0.0,88.25941528292374,0.0,219.85638920086413,0.0,416.745,0.0,0.4247537513775814,0.0,0.0,0.0,326063.0046571854,0.0,916.0623007517879,0.0,43.49734480867821,0.0,38.78258159887077,0.0,12.987012987012985,0.0,14.0,0.0,0.0,0.0,19.871241360055926,0.0,-7.095711092140022,0.0,0.005807958911589343,0.0,0.0004630128094420349,0.0,0.0053449461021473086,0.0,65.20759107291748,0.0,0.0,0.0,0.09336972236633301,0.0,1.849222743258868e-05,0.0,0.0002158956253935837,0.0,3.5303766113169495,0.0
