Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
Online_MPC_NonAdaptive,Transformer Max Power (kW),100,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,4.179552162449209,18.93119065363655,-8.988250475493588,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,28.372508935816455,0.0,14.189093669255575,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
Online_MPC_Adaptive,Transformer Max Power (kW),100,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,4.179552162449209,18.93119065363655,-8.988250475493588,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,28.372508935816455,0.0,15.527112007141113,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
DDPG,Transformer Max Power (kW),200,25.0,25.0,38.44773710292376,219.85638920086413,416.74500000000006,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012983,14.0,5.573012372301832,9.935620680027963,-3.547855546070011,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,17.14207303028216,0.0,0.1557288964589437,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169507
SAC,Transformer Max Power (kW),200,25.0,25.0,-20.824624355836825,466.33226292570424,410.48175504825537,0.5993088603455607,21.239832343480984,229947.29951137886,673.9430982469429,60.966881083191986,35.422838349217095,15.432098765432102,12.0,13.833466611871287,35.044864079438405,1.0064042471506107,0.0072182628655555634,0.0007235890620031791,0.006494673803552384,-7.301548994221702,0.0,0.10714936256408691,47.885572139303484,4.264745506994861,2.909724274614846e-05,0.0002598874584449908,-0.8329849742334728
TQC,Transformer Max Power (kW),200,25.0,25.0,38.62300215732483,328.52483460930523,577.7394878848735,0.408709286705234,171.22318135371629,538188.919810353,1053.999933905078,39.987971222950584,25.7591824588453,15.432098765432102,15.0,12.93858845268658,51.72759316669855,-4.490750309004262,0.006976342818801634,0.00027707829563558973,0.006699264523166044,50.72907105148844,0.0,0.13584041595458984,73.50746268656717,3.9102503410143723,1.1209529252771216e-05,0.0002676082844523721,1.5449200862929928
AFAP,Transformer Max Power (kW),200,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,0.9982252623688156,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,303.99123188590323,65.01760542765686,11.678239219525656,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-139.96536572521208,0.0,0.05772805213928223,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),200,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.8144901789417812,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,44.32333776368667,50.11685398612736,6.7045693821656265,0.003055674688786715,0.0008618480194145362,0.0021938266693721795,-86.1974690918618,0.0,0.06614104906717937,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),200,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.7828492450491674,0.0,68040.35782265641,402.09448623617044,77.69678912700165,18.310367483491405,43.14782608695652,0.0,61.36759930812493,21.835606283067875,5.713642891191138,0.0032913960590427193,0.0010485677104804375,0.0022428283485622824,-61.95196175741861,0.0,0.07059137026468913,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),200,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,6.689706227685662,9.465595326818274,-4.494125237746794,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,28.372508935816455,0.0,12.947906812032064,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
Online_MPC_Adaptive,Transformer Max Power (kW),200,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,6.689706227685662,9.465595326818274,-4.494125237746794,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,28.372508935816455,0.0,12.645971059799194,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
DDPG,Transformer Max Power (kW),400,25.0,25.0,38.44773710292376,219.85638920086413,416.74500000000006,0.40970653715936356,0.0,326063.0046571854,916.0623007517879,43.49734480867821,38.78258159887077,12.987012987012983,14.0,14.352078420331424,4.9678103400139815,-1.7739277730350056,0.005807958911589343,0.0004630128094420349,0.0053449461021473086,17.14207303028216,0.0,0.11651333173116048,72.01492537313433,2.8790673575129535,1.849222743258868e-05,0.0002158956253935837,1.5379094841169507
SAC,Transformer Max Power (kW),400,25.0,25.0,-51.02140327227183,511.7089550743137,304.11898584928554,0.6935288027332733,16.829400989097227,128185.78961676823,519.9984212221723,70.69014437273908,37.59008237337579,15.432098765432102,8.0,26.77675395559511,15.111581569995272,1.8703449138936967,0.007391636294094769,0.0009371311509306343,0.006454505143164135,-38.560034078500145,0.0,0.11795512835184734,37.3134328358209,4.054919811323807,3.762269544378156e-05,0.0002600056601237297,-2.040856130890873
TQC,Transformer Max Power (kW),400,25.0,25.0,-8.477793795537975,508.66653478241557,507.03154282597944,0.5745656807362308,103.7932020445157,298729.5028029371,769.4352990184738,55.9834544302737,35.95498309591973,15.447530864197532,12.0,27.928061674415233,21.76918734561669,0.014730956902172595,0.007946072120585906,0.000536488110214371,0.007409584010371533,15.40818290173133,0.0,0.1015947659810384,55.84577114427861,4.516984791322757,2.1716720264016998e-05,0.0002975376992491718,-0.339111751821519
AFAP,Transformer Max Power (kW),400,25.0,25.0,-139.96573697754482,648.0850944056498,0.0,0.9982252623688156,947.82327184793,120547.70110728794,545.000231470967,99.99514242878563,0.018067204944304832,99.91304347826087,0.0,197.4574302560649,32.50880271382843,5.839119609762828,0.008100693574451015,0.0015292573787491998,0.006571436195701816,-139.96536572521208,0.0,0.04307182629903158,0.0,0.0,6.144605535039924e-05,0.00026535007515575166,-5.598629479101793
ALAP,Transformer Max Power (kW),400,25.0,25.0,-89.28734466384567,372.0707719126967,0.0,0.8144901789417812,364.43628276386795,125199.72620173584,529.321059421889,81.3329498411022,11.792254668762252,57.64578833693306,0.0,25.636684021199486,25.05842699306368,3.3522846910828132,0.003055674688786715,0.0008618480194145362,0.0021938266693721795,-75.32358138094045,0.0,0.03172119458516439,0.0,0.0,3.502764226637076e-05,8.720503123801221e-05,-3.5714937865538268
RR,Transformer Max Power (kW),400,25.0,25.0,-68.61404575010964,317.0792037164814,0.0,0.7828492450491674,0.0,68040.35782265641,402.09448623617044,77.69678912700165,18.310367483491405,43.14782608695652,0.0,51.86452904327166,10.917803141533938,2.856821445595569,0.0032913960590427193,0.0010485677104804375,0.0022428283485622824,-61.95196175741861,0.0,0.04242976506551107,0.0,0.0,4.2206793880502964e-05,9.006972479666872e-05,-2.7445618300043857
Online_MPC_NonAdaptive,Transformer Max Power (kW),400,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,14.611808845586026,4.732797663409137,-2.247062618873397,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,28.372508935816455,0.0,12.34054708480835,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
Online_MPC_Adaptive,Transformer Max Power (kW),400,25.0,25.0,50.46521865501277,201.96305470449622,451.365,0.401821993664901,1.3214289500043912,358594.9925511521,969.2363497231578,40.32940192851705,3.5739639510650636,31.25974025974026,86.0,14.611808845586026,4.732797663409137,-2.247062618873397,0.0037190321961059537,0.00044967462785524263,0.0032693575682507113,28.372508935816455,0.0,13.329701582590738,22.761194029850746,9.865901639344262,1.7945296543549104e-05,0.00013080369760322635,2.018608746200511
