Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
ALAP,EV Spawn Multiplier,5,17.0,17.0,-57.46427969284441,239.788990190827,0.0,0.8905094606618291,246.65215238239838,55549.26517243231,341.49350663645436,82.32311576858658,12.533216418924189,57.64578833693306,0.0,0.0,59.94042337211244,8.641807114002825,0.002041432927860366,0.0005981268596986613,0.0014433060681617047,-53.87858981805963,0.0,0.03706049919128418,0.0,0.0,3.570823854251649e-05,8.492510299991298e-05,-3.3802517466379065
RR,EV Spawn Multiplier,5,17.0,17.0,-44.88219631000791,209.54143732132178,0.0,0.8469757654788674,0.0,26728.06806995885,248.41498331476035,79.53926480412949,17.10203360060444,47.65217391304348,0.0,0.0,29.970211686056253,7.551709035017434,0.0021904650463819347,0.0007247292189445909,0.0014657358274373436,-43.12192728015581,0.0,0.0380406379699707,0.0,0.0,4.288169169496884e-05,8.651618283065628e-05,-2.640129194706348
Online_MPC_NonAdaptive,EV Spawn Multiplier,5,17.0,17.0,38.69023343962307,146.58860943945106,343.35,0.4467054153425018,1.5092349114150823,187870.3075911383,655.4724286523382,40.20348738082515,3.849825499679607,32.01298701298701,65.0,0.0,23.422196377598027,-7.091126174533959,0.00276467912304413,0.00031023029868693596,0.0024544488243571933,29.88989435058913,0.0,13.99119257926941,25.78268876611418,9.81,1.8185227980167255e-05,0.000144410460329854,2.27589608468371
Online_MPC_Adaptive,EV Spawn Multiplier,5,17.0,17.0,38.69023343962307,146.58860943945106,343.35,0.4467054153425018,1.5092349114150823,187870.3075911383,655.4724286523382,40.20348738082515,3.849825499679607,32.01298701298701,65.0,0.0,23.422196377598027,-7.091126174533959,0.00276467912304413,0.00031023029868693596,0.0024544488243571933,29.88989435058913,0.0,12.073851108551025,25.78268876611418,9.81,1.8185227980167255e-05,0.000144410460329854,2.27589608468371
DDPG,EV Spawn Multiplier,7,20.0,20.0,55.23958048300659,128.4041534761547,405.7975,0.388337434934796,0.0,263795.5702594021,797.0402896161366,37.45036914413164,36.122028317477614,15.432098765432102,13.0,0.0,0.06923896384871991,-9.99703861907551,0.004770478805104707,0.00038938731864845175,0.004381091486456255,38.17172325300176,0.0,0.14201045036315918,72.21350078492935,3.5286739130434785,1.9335988990881862e-05,0.00022096477132349423,2.7619790241503295
SAC,EV Spawn Multiplier,7,20.0,20.0,7.627393161796981,353.1756267418532,400.44921210991424,0.6038296799455145,0.229693737350658,121946.19841699694,567.0353753290276,57.49838962733186,37.67636584781759,12.987012987012985,10.0,0.0,23.793752270716233,-1.703702934872104,0.006032450433740963,0.0006106067938856696,0.005421843639855292,4.577672276937028,0.0,0.13805723190307617,52.27629513343799,4.810200746065036,3.0513534322166256e-05,0.00027216152199162206,0.381369658089849
TD3,EV Spawn Multiplier,7,20.0,20.0,-0.04156913772590576,346.20100104375024,339.515,0.6301196154646382,26.874824845588464,101838.589223543,526.3983544713353,60.91026407997337,37.069905355280596,15.432098765432102,8.0,0.0,49.85457957602762,0.24095823306203326,0.006717593924287846,0.0007255312019355215,0.005992062722352325,-10.371201152384058,0.0,0.10855650901794434,48.19466248037676,4.423648208469055,3.618101278325911e-05,0.00030008546289625053,-0.002078456886295288
AFAP,EV Spawn Multiplier,7,20.0,20.0,-101.38125075615673,478.8304993791078,0.0,1.0,798.7096996919527,87330.02089979172,440.1712935591595,99.99515086206897,0.015206952141387939,99.9375,0.0,22.36869040547212,111.26355738325793,17.25667559900419,0.0063154643440553205,0.0012325279935810327,0.005082936350474288,-596.7788418540341,0.0,0.05238676071166992,0.0,0.0,6.18531156531743e-05,0.00025589994990346526,-5.069062537807836
ALAP,EV Spawn Multiplier,7,20.0,20.0,-67.695442853607,278.0207719126968,0.0,0.9000975947026513,310.59219116657357,78037.90864604842,396.9222667628811,83.32039568590729,12.131162271711975,57.64578833693306,0.0,0.0,69.93049393413119,10.019650537932035,0.0024147176684231842,0.0007166409477478887,0.001698076720675295,-61.82894821694671,0.0,0.04803276062011719,0.0,0.0,3.6349757964400514e-05,8.518100497727763e-05,-3.38477214268035
RR,EV Spawn Multiplier,7,20.0,20.0,-49.39653805846376,229.62598317878894,0.0,0.8499676814419747,0.0,38491.84273019467,290.0209599135023,79.40546347183168,16.657230901162833,47.73913043478261,0.0,0.0,39.96028224807499,8.275540313236046,0.002481872880895691,0.0008471392571732483,0.0016347336237224424,-46.44223626152201,0.0,0.06541252136230469,0.0,0.0,4.259183890998168e-05,8.206435409408065e-05,-2.469826902923188
