Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
ALAP,Number of Charging Stations,15,17.0,0.0,-151.7423974862995,0.0,249.3574208345665,0.0,0.0,0.0,0.872300017713995,0.0,173.0106175207674,0.0,56447.19235339549,0.0,316.27671254304687,0.0,79.89167024851739,0.0,13.692799449981624,0.0,57.64578833693306,0.0,0.0,0.0,12.118132383958141,0.0,63.88130850570178,0.0,9.008753720460957,0.0,0.0020587314966371392,0.0,0.0005148969059690223,0.0,0.001543834590668117,0.0,-185.03983062459304,0.0,0.0,0.0,0.04293394088745117,0.0,3.081296853611343e-05,0.0,8.947795091985119e-05,0.0,-10.116159832419966,0.0
RR,Number of Charging Stations,15,17.0,0.0,-117.64007318159945,0.0,206.81887910675607,0.0,0.0,0.0,0.8238684880884389,0.0,0.0,0.0,34112.36951140145,0.0,272.30994551047365,0.0,75.67685253445116,0.0,20.811336532916055,0.0,39.81481481481482,0.0,0.0,0.0,0.9548450196295164,0.0,33.2923878350815,0.0,7.471926603903483,0.0,0.0020839386881802043,0.0,0.0006073409566887117,0.0,0.001476597731491493,0.0,-17.09512251834767,0.0,0.0,0.0,0.06343913078308105,0.0,3.5982758881193056e-05,0.0,8.692834946729639e-05,0.0,-7.842671545439964,0.0
SAC,Number of Charging Stations,15,17.0,0.0,-35.20631196825903,0.0,315.7183251337584,0.0,270.39309186012235,0.0,0.6521941740682575,0.0,55.71627250617998,0.0,89499.6604927934,0.0,461.66172759668365,0.0,59.65258763493422,0.0,38.56864359735492,0.0,15.625,0.0,6.0,0.0,4.067259464435232,0.0,22.855140984898135,0.0,1.6375043602794057,0.0,0.0047575909128502545,0.0,0.0004719677134902585,0.0,0.004285623199359994,0.0,-34.36207220696422,0.0,0.0,0.0,0.09444785118103027,0.0,2.7831425625868126e-05,0.0,0.00025229472495451365,0.0,-2.347087464550602,0.0
DDPG,Number of Charging Stations,15,17.0,0.0,23.93384408992842,0.0,237.66530545008473,0.0,308.7325,0.0,0.461862781122755,0.0,0.0,0.0,134277.60655945548,0.0,550.1960191671449,0.0,48.2695758351076,0.0,38.54944088193217,0.0,15.432098765432102,0.0,8.0,0.0,0.2601321594298014,0.0,22.156081996087483,0.0,-2.567506718514802,0.0,0.0042889267417984605,0.0,0.0003212530552481923,0.0,0.003967673686550269,0.0,-7.548964083517025,0.0,0.0,0.0,0.07302355766296387,0.0,1.8897099380984513e-05,0.0,0.0002358047953680677,0.0,1.5955896059952281,0.0
DDPG+PER,Number of Charging Stations,15,17.0,0.0,57.73781163321593,0.0,106.53332892995712,0.0,221.51250000000005,0.0,0.4857630362981082,0.0,5.094256741458705,0.0,142126.0368945827,0.0,596.6551240580019,0.0,42.62991000527094,0.0,37.17276039467707,0.0,15.432098765432102,0.0,6.0,0.0,0.0,0.0,9.705032704310108,0.0,-4.153953115515934,0.0,0.0030408497325865895,0.0,0.0003433333702363831,0.0,0.0026975163623502068,0.0,0.54467852191374,0.0,0.0,0.0,0.07867693901062012,0.0,2.0123835023353106e-05,0.0,0.00015947140889084193,0.0,3.849187442214395,0.0
TQC,Number of Charging Stations,15,17.0,0.0,-40.554037144030055,0.0,268.64911297471,0.0,217.7136684098755,0.0,0.6185126741821776,0.0,58.132665625473535,0.0,96016.23217476024,0.0,457.2597128651323,0.0,60.3755927127811,0.0,38.47170424100461,0.0,15.432098765432102,0.0,6.0,0.0,0.2601321594298014,0.0,27.100241565601756,0.0,1.8401893723115392,0.0,0.003851732888758386,0.0,0.00047588062381228924,0.0,0.003375852264946097,0.0,-10.73494503866915,0.0,0.0,0.0,0.10400652885437012,0.0,2.8069034337410873e-05,0.0,0.0002007369874040686,0.0,-2.7036024762686703,0.0
Online_MPC_NonAdaptive,Number of Charging Stations,15,17.0,0.0,-109.7923348306163,0.0,194.41202283194178,0.0,0.0,0.0,0.8145810197717201,0.0,70.67931864090737,0.0,41261.57450340094,0.0,320.0564611057418,0.0,74.71173055281572,0.0,23.827135499106898,0.0,34.62962962962963,0.0,0.0,0.0,0.0,0.0,42.73569806671778,0.0,7.023693251750266,0.0,0.002246841309734885,0.0,0.0006109732798950071,0.0,0.0016358680298398781,0.0,-11.466236393639473,0.0,0.0,0.0,10.237640619277954,0.0,3.61857151047834e-05,0.0,9.63943670166892e-05,0.0,-7.319488988707753,0.0
Online_MPC_Adaptive,Number of Charging Stations,15,17.0,0.0,-65.89422551111983,0.0,113.41234011277609,0.0,0.0,0.0,0.724832940256889,0.0,46.14538059896484,0.0,68355.97671839935,0.0,388.7891748039361,0.0,66.0115108088569,0.0,23.47981894688759,0.0,36.004319654427654,0.0,0.0,0.0,0.0,0.0,30.043940817408444,0.0,4.0973468426070765,0.0,0.001420458466790801,0.0,0.0005461895641236821,0.0,0.0008742689026671186,0.0,-7.520156469798046,0.0,0.0,0.0,10.680869579315186,0.0,3.2269621583755576e-05,0.0,5.131576120810923e-05,0.0,-4.392948367407988,0.0
AFAP,Number of Charging Stations,25,24.0,0.0,-112.04382208605007,0.0,670.0719243750015,0.0,0.0,0.0,1.0,0.0,745.1941714089305,0.0,73073.81786473203,0.0,433.3655927733382,0.0,99.99856321839081,0.0,0.006890562533496853,0.0,99.9655172413793,0.0,0.0,0.0,182.24804493232634,0.0,138.7563359650271,0.0,24.231856986984088,0.0,0.007819149963088495,0.0,0.0013719425278603458,0.0,0.006447207435228149,0.0,-11364.003104023783,0.0,0.0,0.0,0.034833669662475586,0.0,5.7482638950119616e-05,0.0,0.000271671408598975,0.0,-4.309377772540388,0.0
ALAP,Number of Charging Stations,25,24.0,0.0,-78.57775812116462,0.0,372.9647258076316,0.0,0.0,0.0,0.8596075034963643,0.0,457.19203759063083,0.0,163140.49966863243,0.0,586.4717244315585,0.0,79.24772400308366,0.0,13.290856784532027,0.0,61.419753086419746,0.0,0.0,0.0,141.27743812154404,0.0,107.32186202919698,0.0,13.487548975268535,0.0,0.0031435341056838826,0.0,0.0007141301884628747,0.0,0.0024294039172210085,0.0,-4406.099806782679,0.0,0.0,0.0,0.061244964599609375,0.0,3.0333059483157477e-05,0.0,0.00010040658074513491,0.0,-3.0222214661986393,0.0
