Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_evs_spawned_mean,total_profits_mean,total_energy_charged_mean,total_energy_discharged_mean,average_user_satisfaction_mean,power_tracker_violation_mean,tracking_error_mean,energy_tracking_error_mean,energy_user_satisfaction_mean,std_energy_user_satisfaction_mean,min_energy_user_satisfaction_mean,total_steps_min_emergency_battery_capacity_violation_mean,transformer_overload_kwh_mean,peak_transformer_loading_pct_mean,average_transformer_loading_pct_mean,battery_degradation_mean,battery_degradation_calendar_mean,battery_degradation_cycling_mean,total_reward_mean,action_mask_mean,execution_time_mean,v2g_time_percentage_mean,average_v2g_power_mean,calendar_degradation_mean,cyclic_degradation_mean,profit_per_ev_mean
ALAP,Number of Charging Stations,50,48.0,48.0,-170.76604461113877,735.7987334452248,0.0,0.8628010462113694,814.3479418511154,531935.4549952842,1091.0677643947267,79.84419366912078,13.031031948925461,57.64578833693306,0.0,195.3919815018188,179.63978982932346,26.51760918673095,0.006153721103939964,0.0014540522478733034,0.004699668856066661,-7233.7896044645195,0.0,0.07154464721679688,0.0,0.0,3.087048170273049e-05,9.704121460604226e-05,-3.5576259293987245
RR,Number of Charging Stations,50,48.0,48.0,-124.06557289729116,588.5622306678024,0.0,0.7979502198842751,0.0,311896.8135787015,831.1302962465919,74.56646168625544,20.25419607133376,42.39655172413793,0.0,0.0,90.24363741023599,21.21132112016775,0.005953463062448171,0.0017690767177676785,0.0041843863446804925,-187.53146662752377,0.0,0.07163834571838379,0.0,0.0,3.7124107676375634e-05,8.726649750550061e-05,-2.5846994353602324
Online_MPC_NonAdaptive,Number of Charging Stations,50,48.0,48.0,76.64334510654624,418.20573486334933,795.9787424637976,0.4538368795883706,1.2597069730665096,1310604.2760609526,1798.095388001376,41.04255028605467,3.776421348214382,29.7012987012987,146.0,0.0,42.49044434579909,-13.614642865636807,0.006875556556420662,0.0008367167056336839,0.006038839850786978,-5334.676284827779,0.0,17.62186884880066,21.59090909090909,9.857321888096566,1.73990063221707e-05,0.00012582844809355087,1.59673635638638
Online_MPC_Adaptive,Number of Charging Stations,50,48.0,48.0,76.64334510654624,418.20573486334933,795.9787424637976,0.4538368795883706,1.2597069730665096,1310604.2760609526,1798.095388001376,41.04255028605467,3.776421348214382,29.7012987012987,146.0,0.0,42.49044434579909,-13.614642865636807,0.006875556556420662,0.0008367167056336839,0.006038839850786978,-5334.676284827779,0.0,19.277090787887573,21.59090909090909,9.857321888096566,1.73990063221707e-05,0.00012582844809355087,1.59673635638638
DDPG,Number of Charging Stations,100,95.0,95.0,-43.277957087596725,1270.03142225576,1076.4950000000001,0.5614665083021193,0.0,2991375.2293890123,2853.3830904386127,53.91686408189087,41.01735536470948,12.987012987012985,29.0,28.249214645668495,127.13724577928285,6.974900846521267,0.022462815649618606,0.002531493450857702,0.0199313221987609,-756.982357748733,0.0,0.5370180606842041,56.15906886517944,2.478975244674727,2.6713510342739886e-05,0.00021154851938370473,-0.455557443027334
SAC,Number of Charging Stations,100,95.0,95.0,-42.481383970540676,1416.514793368641,1274.2506320513942,0.555250749074277,20.71183730589764,3439119.79210487,2915.0112700300742,52.89057346034251,36.70566910313319,12.987012987012985,28.0,0.0,74.77129812564168,5.1270887806844,0.023845063256474563,0.002373523293421341,0.021471539963053225,-67.5776681525424,0.0,0.4950895309448242,56.93501454898156,2.8943796298725593,2.505380519123214e-05,0.00022692593119002998,-0.4471724628477966
TD3,Number of Charging Stations,100,95.0,95.0,-131.7926158661467,1924.0146505512885,1378.4110803219019,0.6282423991293823,77.9261447464107,2623021.9160536956,2540.2790148381914,59.62890714255967,37.28552707016041,12.987012987012985,27.0,12.350469619153703,110.6226131440507,19.663124695097135,0.029113126893825607,0.0029281722824475815,0.026184954611378028,-236.2754579766773,0.0,0.70758056640625,48.46427416747494,3.678215024207877,3.093385744144308e-05,0.00027654092100359195,-1.38729069332786
AFAP,Number of Charging Stations,100,95.0,95.0,-594.0978779467584,2789.3169023021896,0.0,0.9996037137681159,3763.915573943359,2062596.5362163314,2139.5603973638636,99.97661621748519,0.16319086007118055,98.46046186144157,0.0,1910.3855802604417,634.8707046857347,100.5247931956364,0.03241665962244666,0.005641509079837222,0.026775150542609434,-166333.91944548013,0.0,0.30509090423583984,0.0,0.0,5.9724105872593135e-05,0.0002848997894337932,-6.253661873123773
ALAP,Number of Charging Stations,100,95.0,95.0,-353.1822298458534,1518.4391914630933,0.0,0.8361051083910997,1607.7504588290687,2564294.840018052,2332.3555506458138,76.76698121466478,13.120963679491693,57.64578833693306,0.0,881.5580878582257,415.78345527930793,54.72335738402234,0.012376597670004805,0.0027181765650263223,0.00965842110497848,-35727.179915399945,0.0,0.36337876319885254,0.0,0.0,2.9216901387802445e-05,0.00010034702442890257,-3.7177076825879305
RR,Number of Charging Stations,100,95.0,95.0,-260.84307152906825,1237.674010196745,0.0,0.7711222464554325,0.0,1354625.1001194417,1809.2455024976261,71.80766991470499,20.196739019237782,39.165217391304346,0.0,340.36381391335044,163.25547626086208,44.6048004857222,0.011818546440744936,0.0034137589690647722,0.008404787471680164,-29101.644712448007,0.0,0.5478024482727051,0.0,0.0,3.621699623344611e-05,8.848032076838155e-05,-2.7457165424112446
Online_MPC_NonAdaptive,Number of Charging Stations,100,95.0,95.0,104.21361216941,879.3341828914182,1406.9925,0.4571597686787871,1.4105400542084494,5006213.650999494,3575.283099830057,41.228954831042515,5.1016978178224255,30.06493506493506,274.0,0.0,73.97685352428927,-19.01639184902885,0.0135788175624405,0.0016975285974133328,0.01188128896502717,-28102.5430665412,0.0,1102.7962856292725,18.558034270934368,9.804825783972126,1.7857725470720016e-05,0.00012473179759460773,1.0969853912569474
Online_MPC_Adaptive,Number of Charging Stations,100,95.0,95.0,104.21361216941,879.3341828914182,1406.9925,0.4571597686787871,1.4105400542084494,5006213.650999494,3575.283099830057,41.228954831042515,5.1016978178224255,30.06493506493506,274.0,0.0,73.97685352428927,-19.01639184902885,0.0135788175624405,0.0016975285974133328,0.01188128896502717,-28102.5430665412,0.0,1053.2302224636078,18.558034270934368,9.804825783972126,1.7857725470720016e-05,0.00012473179759460773,1.0969853912569474
