Algorithm,parameter_name,parameter_value,total_ev_served_mean,total_ev_served_std,total_profits_mean,total_profits_std,total_energy_charged_mean,total_energy_charged_std,total_energy_discharged_mean,total_energy_discharged_std,average_user_satisfaction_mean,average_user_satisfaction_std,power_tracker_violation_mean,power_tracker_violation_std,tracking_error_mean,tracking_error_std,energy_tracking_error_mean,energy_tracking_error_std,energy_user_satisfaction_mean,energy_user_satisfaction_std,std_energy_user_satisfaction_mean,std_energy_user_satisfaction_std,min_energy_user_satisfaction_mean,min_energy_user_satisfaction_std,total_steps_min_emergency_battery_capacity_violation_mean,total_steps_min_emergency_battery_capacity_violation_std,transformer_overload_kwh_mean,transformer_overload_kwh_std,peak_transformer_loading_pct_mean,peak_transformer_loading_pct_std,average_transformer_loading_pct_mean,average_transformer_loading_pct_std,battery_degradation_mean,battery_degradation_std,battery_degradation_calendar_mean,battery_degradation_calendar_std,battery_degradation_cycling_mean,battery_degradation_cycling_std,total_reward_mean,total_reward_std,action_mask_mean,action_mask_std,execution_time_mean,execution_time_std,calendar_degradation_mean,calendar_degradation_std,cyclic_degradation_mean,cyclic_degradation_std,profit_per_ev_mean,profit_per_ev_std
AFAP,Discharge Price Factor,10.5,22.0,0.0,-79.89110233980963,0.0,557.1499477713244,0.0,0.0,0.0,1.0,0.0,816.9182978620273,0.0,101770.77478383385,0.0,467.8580073353748,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,150.2326053118819,0.0,134.2729485311924,0.0,19.898212420404437,0.0,0.0069067077675507935,0.0,0.0012033413759304043,0.0,0.005703366391620389,0.0,-7428.534566623416,0.0,0.0,0.0,0.06572699546813965,0.0,5.4964173990923487e-05,0.0,0.00026137339281341636,0.0,-3.994555116990482,0.0
ALAP,Discharge Price Factor,10.5,22.0,0.0,-58.341160410023164,0.0,326.4377805745128,0.0,0.0,0.0,0.8917044315633679,0.0,513.3919558215327,0.0,142588.61751065872,0.0,546.8070035119389,0.0,82.14646244780813,0.0,11.631368369863669,0.0,63.4375,0.0,0.0,0.0,77.5434291740753,0.0,127.46829417504246,0.0,11.658492163375453,0.0,0.002712062518232614,0.0,0.0006617416949062527,0.0,0.0020503208233263607,0.0,-1321.3748852663111,0.0,0.0,0.0,0.06767845153808594,0.0,3.064602932943469e-05,0.0,9.289598340390605e-05,0.0,-2.917058020501158,0.0
RR,Discharge Price Factor,10.5,22.0,0.0,-38.59791613690402,0.0,259.8759053478204,0.0,0.0,0.0,0.8224632740765127,0.0,0.0,0.0,65246.33301189545,0.0,356.67290082786496,0.0,77.26626553351608,0.0,18.37713998464815,0.0,47.75,0.0,0.0,0.0,0.0,0.0,49.82999999999997,0.0,9.281282333850726,0.0,0.0026081441266526464,0.0,0.0007968120116945035,0.0,0.0018113321149581427,0.0,-4.101465850566359,0.0,0.0,0.0,0.06298279762268066,0.0,3.6465817981300116e-05,0.0,8.260023640458318e-05,0.0,-1.929895806845201,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,10.5,22.0,0.0,126.3634722,0.0,0.0,0.0,84.50250000000001,0.0,0.5553755276302761,0.0,0.0,0.0,227244.63496548892,0.0,701.0513061756855,0.0,50.28334819385,0.0,25.86742178678246,0.0,15.432098765432102,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0179464285714284,0.0,0.0011121398188576872,0.0,0.0005186753109910926,0.0,0.0005934645078665946,0.0,7.824707519978079,0.0,0.0,0.0,12.912112712860107,0.0,2.3521936141274004e-05,0.0,2.7034566763665197e-05,0.0,6.3181736100000006,0.0
Online_MPC_Adaptive,Discharge Price Factor,10.5,22.0,0.0,96.87456914891501,0.0,0.0,0.0,58.83489337704205,0.0,0.5786858231518586,0.0,0.0,0.0,200825.03212816588,0.0,675.3836995527276,0.0,52.33255480713694,0.0,24.761458072340524,0.0,15.432098765432102,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.1012461920372165,0.0,0.0009858628142858377,0.0,0.0005352694026596073,0.0,0.0004505934116262306,0.0,6.093894707034894,0.0,0.0,0.0,13.500067710876465,0.0,2.429865506037199e-05,0.0,2.048707309807415e-05,0.0,4.843728457445751,0.0
AFAP,Discharge Price Factor,15.25,15.0,0.0,-99.08622686534972,0.0,447.8731493278101,0.0,0.0,0.0,1.0,0.0,539.7385205313474,0.0,39280.05142209746,0.0,305.6421307376247,0.0,99.98840579710145,0.0,0.04338153491911924,0.0,99.82608695652173,0.0,0.0,0.0,110.73814084513351,0.0,89.83901678330486,0.0,15.995469618850356,0.0,0.005088273672955162,0.0,0.0009183133453579131,0.0,0.004169960327597249,0.0,-6403.803697817347,0.0,0.0,0.0,0.04658246040344238,0.0,6.157769662304133e-05,0.0,0.00028142834615939684,0.0,-4.954311343267486,0.0
ALAP,Discharge Price Factor,15.25,15.0,0.0,-89.76301795100609,0.0,251.32574394916534,0.0,0.0,0.0,0.836281897460049,0.0,330.2404160329868,0.0,80402.4271098381,0.0,397.44048386708914,0.0,77.81458941724608,0.0,14.906725105295504,0.0,61.419753086419746,0.0,0.0,0.0,118.97553335444607,0.0,69.70672657461593,0.0,8.975919426755905,0.0,0.0021928818624072513,0.0,0.00047745205026358947,0.0,0.0017154298121436619,0.0,-5404.111401751062,0.0,0.0,0.0,0.0373690128326416,0.0,3.245455038065426e-05,0.0,0.00011233287738211146,0.0,-4.488150897550304,0.0
RR,Discharge Price Factor,15.25,15.0,0.0,-52.63386966717156,0.0,210.2550889334581,0.0,0.0,0.0,0.7817867588839325,0.0,0.0,0.0,37463.36370633128,0.0,273.39093086630305,0.0,73.23580829955394,0.0,19.990819056675882,0.0,47.65217391304348,0.0,0.0,0.0,14.742867506603094,0.0,35.573983697266996,0.0,7.509110319052074,0.0,0.0019350329859505974,0.0,0.0006002289904888217,0.0,0.0013348039954617758,0.0,-243.46169341487206,0.0,0.0,0.0,0.03178143501281738,0.0,4.029666356080158e-05,0.0,8.852196852986423e-05,0.0,-2.631693483358578,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,15.25,15.0,0.0,176.3719353728636,0.0,0.0,0.0,46.04761463345433,0.0,0.4880207850464343,0.0,0.0,0.0,121522.28941790466,0.0,529.6936344332155,0.0,44.44301896231443,0.0,29.776397074853186,0.0,17.391304347826086,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.644557665480512,0.0,0.0007357404825574418,0.0,0.0003700364059244603,0.0,0.00036570407663298143,0.0,14.229832996419455,0.0,0.0,0.0,12.307875394821167,0.0,2.462627638072091e-05,0.0,2.444182159644201e-05,0.0,8.818596768643179,0.0
Online_MPC_Adaptive,Discharge Price Factor,15.25,15.0,0.0,150.9929006228636,0.0,0.0,0.0,38.74261463345434,0.0,0.49772439757487513,0.0,0.0,0.0,118358.85710969055,0.0,522.3886344332153,0.0,45.31634408987411,0.0,29.70948498585966,0.0,15.432098765432102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3836648083376548,0.0,0.0007099506854943916,0.0,0.0003815365038840004,0.0,0.0003284141816103912,0.0,11.783059951567498,0.0,0.0,0.0,12.632019519805908,0.0,2.5398146581785548e-05,0.0,2.1913058322519555e-05,0.0,7.54964503114318,0.0
AFAP,Discharge Price Factor,20.0,18.0,0.0,-68.77710611258001,0.0,485.33042986274626,0.0,0.0,0.0,0.9878948212281544,0.0,531.8690067998332,0.0,39974.519095266936,0.0,312.02041658866966,0.0,99.92025937609533,0.0,0.328779015011572,0.0,98.56466876971609,0.0,0.0,0.0,183.5201743803372,0.0,91.61459653759695,0.0,17.33322963795522,0.0,0.0055178938994255005,0.0,0.0010176192573873198,0.0,0.004500274642038181,0.0,-12726.381641789421,0.0,0.0,0.0,0.07404589653015137,0.0,5.684207133829616e-05,0.0,0.0002519938034346379,0.0,-4.0457121242694125,0.0
ALAP,Discharge Price Factor,20.0,18.0,0.0,-49.029701626402485,0.0,277.27287964497566,0.0,0.0,0.0,0.8596488768656754,0.0,234.39065461202597,0.0,64821.732242897226,0.0,371.33879071253676,0.0,81.0515045519956,0.0,14.263742940422935,0.0,57.64578833693306,0.0,0.0,0.0,52.574488151670046,0.0,86.90975203547826,0.0,9.902602844463416,0.0,0.002475554942677313,0.0,0.000580174438618727,0.0,0.0018953805040585853,0.0,-1300.0865446300288,0.0,0.0,0.0,0.03702378273010254,0.0,3.274853406098203e-05,0.0,0.0001043456813928664,0.0,-2.8841000956707346,0.0
RR,Discharge Price Factor,20.0,18.0,0.0,-33.171074056584914,0.0,217.53969496055257,0.0,0.0,0.0,0.7928093006530816,0.0,0.0,0.0,41732.90183280745,0.0,313.8766480909468,0.0,75.45523921184366,0.0,22.068459021735137,0.0,43.3641975308642,0.0,0.0,0.0,14.438214804669194,0.0,30.92193551756756,0.0,7.769274820019733,0.0,0.002296832193895077,0.0,0.0006861764746422738,0.0,0.001610655719252804,0.0,-124.07660881999924,0.0,0.0,0.0,0.04928994178771973,0.0,3.835024086409707e-05,0.0,8.96410793715182e-05,0.0,-1.951239650387348,0.0
Online_MPC_NonAdaptive,Discharge Price Factor,20.0,18.0,0.0,177.13298929739437,0.0,0.0,0.0,63.54865655784999,0.0,0.5458580124098279,0.0,0.0,0.0,133416.99147410164,0.0,594.9649996093493,0.0,50.1757418181222,0.0,28.205338262602115,0.0,15.432098765432102,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.2695948770660714,0.0,0.0009213307431361453,0.0,0.0004567190391029333,0.0,0.0004646117040332119,0.0,15.336123051003302,0.0,0.0,0.0,11.783032178878784,0.0,2.5332425584352235e-05,0.0,2.5837598795564592e-05,0.0,10.419587605729081,0.0
Online_MPC_Adaptive,Discharge Price Factor,20.0,18.0,0.0,133.71357887758307,0.0,0.0,0.0,46.43494341903859,0.0,0.5655281102443142,0.0,0.0,0.0,123800.62006105452,0.0,577.8512864705378,0.0,52.01434026716137,0.0,28.025484836527564,0.0,15.432098765432102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6583908363942352,0.0,0.0008495794587155569,0.0,0.00047561694143548127,0.0,0.0003739625172800757,0.0,11.250994861142756,0.0,0.0,0.0,13.081424951553345,0.0,2.6391533965500622e-05,0.0,2.074327024196141e-05,0.0,7.865504639857828,0.0
